text,label,phishing_type,severity,confidence
"Dear user, your account requires verification. To restore access, reset your password and enter your username, 2FA verification code, and recovery key.

Keywords: personal information, security question, login

Security Team,
Jamie Patel",1,credential_harvesting,high,0.8
"Hello, we detected unusual activity on your account. To restore access, please update your information. Your account may be restricted until you reactivate it.

Keywords: unauthorized restore breach

Account Services,
Alex Kim",1,social_engineering,high,0.81
"Hi there, this is an urgent notice regarding your account. Your access will expire soon. To avoid interruption, act now and follow the instructions immediately. This is time sensitive and ends soon.

Keywords: instantly, last chance, final notice, today only, rush, 24 hours

Compliance Team,
Sam Wong",1,urgency,high,0.89
"Subject: Training session notes

Quick reminder about the training session tomorrow. The materials are in the shared drive.

Appreciate your feedback on this draft.

Best,
Casey Lee",0,legitimate,low,0.95
"Hello, this is the fraud prevention compliance team. There are security concerns on your account. To remain in good standing, follow the confidential steps to review your account today. Failure to respond may result in a restriction.

Keywords: acquisition bank of america spotify whatsapp visa

Sincerely,
Sam Nguyen",1,authority_scam,high,0.95
"Subject: Office maintenance

Please find the minutes from our last meeting. Action items are listed at the end of the note for convenience.

I'll share the slides later today.

Best,
Jamie Patel",0,legitimate,low,0.98
"Subject: Documentation review

I booked the lab for next Wednesday. The calendar invite includes location and equipment details.

I'll share the slides later today.

Best,
Alex Garcia",0,legitimate,low,0.97
"Dear customer, we talked about meeting again after the conference. An unexpected situation came up during my business trip. My wallet was stolen at the hotel and payment verification failed. Could you help me with a temporary loan? I will transfer back next week.

Keywords: we met, soldier, doctor

Compliance Team,
Casey Lee",1,romance_dating,high,0.87
"Subject: Onboarding checklist

Thanks for attending the workshop. Here are the links to references and the slide deck.

I'll share the slides later today.

Best,
Jordan Patel",0,legitimate,low,0.99
"Attention, we detected a login attempt on your account. To verify access, please validate your information. Your account may be locked until you recover it.

Keywords: restricted login attempt violation unauthorized compromised

Risk Operations,
Jordan Lee",1,social_engineering,high,0.87
"Subject: Code review summary

Please find the minutes from our last meeting. Action items are listed at the end for convenience.

Thanks for reviewing the document.

Best,
Jordan Brown",0,legitimate,low,0.96
"Hi there, congratulations! You are the selected recipient of a prize. To redeem your payment of ₹80,000, please provide your credit card to process the total. This deal is available today only.

Keywords: earnings refund amount transfer

Security Team,
Casey Lee",1,financial_scam,medium,0.74
"Subject: Classroom logistics

Thanks for your help on the analysis. I've pushed the changes and left comments in the PR for clarity.

I'll share the slides later today.

Best,
Morgan Kim",0,legitimate,low,0.95
"Dear customer, you have a new notification. Please click here to view the update. For your convenience, a link and attachment are included. Do not reply to this auto-generated message.

Keywords: do not reply, noreply, visit, announcement

Regards,
Taylor Brown",1,generic_phishing,low,0.74
"Dear user, final warning. Failure to respond will hold your account. Immediate action is required to avoid legal action. Your case will be referred to the judge if unresolved.

Keywords: default delete final warning terminate

IT Desk,
Morgan Brown",1,threats,high,0.83
"Notice, this is an urgent notice regarding your account. Your access will expire soon. To avoid interruption, act now and follow the instructions immediately. This is time sensitive and ends soon.

Keywords: deadline, asap, while supplies last

Compliance Team,
Jamie Wong",1,urgency,high,0.78
"Subject: Research discussion

Sharing the revised documentation with examples. The new endpoints are described in section two.

Appreciate your feedback on this draft.

Best,
Jamie Kim",0,legitimate,low,0.95
"Attention, this is an act now notice regarding your account. Your access will expire within 24 hours. To avoid interruption, respond asap. This offer is time sensitive and ends soon. Follow the instructions now.

Keywords: act now 24 hours

Regards,
Riley Garcia",1,urgency,high,0.9
"Dear customer, your login has been suspended. Use the secure link to update password and restore access. Enter your 2FA code to continue.

Keywords: signin personal information

Account Services,
Jamie Wong",1,credential_harvesting,high,0.94
"Account holder, this is the account services accounts team. There are security violations on your account. To remain in good standing, follow the confidential steps to review your account today. Failure to respond may result in a hold.

Keywords: acquisition paypal

Risk Operations,
Avery Patel",1,authority_scam,high,0.8
"Subject: Performance feedback

Good morning, the updated agenda for next week is included below. Please check your items and add comments.

Feel free to add notes before we meet.

Best,
Jordan Garcia",0,legitimate,low,0.95
"Subject: Invoice confirmation

Thanks for your help on the analysis. I've pushed the changes and added comments in the PR for clarity.

Let me know if the timing works for you.

Best,
Alex Lee",0,legitimate,low,0.97
"Hello, the IT department detected a malware infection on your workstation. Run the antivirus scan and install the security patch from the provided link to fix the issue.

Keywords: error, bug, repair, technical support, spyware

Support Desk,
Casey Lee",1,tech_support,high,0.95
"Dear customer, this is an urgent notice regarding your account. Your access will expire soon. To avoid interruption, act now and follow the instructions immediately. This is time sensitive and ends soon.

Keywords: quick, expires soon, rush, ends soon

Sincerely,
Jordan Kim",1,urgency,medium,0.79
"Subject: Budget planning

Thanks for attending the workshop. Here are the links to references and the slide deck.

Appreciate your feedback on this draft.

Best,
Jordan Brown",0,legitimate,low,0.96
"Subject: Networking event details

Thanks for attending the workshop. Here are links to references and the slide deck.

Feel free to add notes before we meet.

Best,
Casey Singh",0,legitimate,low,0.97
"Subject: Invoice confirmation

Thanks for your help on the analysis. I've pushed the changes and added comments in the PR for clarity.

Appreciate your feedback on this draft.

Best,
Morgan Brown",0,legitimate,low,0.98
"Dear customer, the IT department detected a malware infection on your workstation. Run the antivirus scan and install the security patch from the provided link to fix the issue.

Keywords: it department, database, update

Regards,
Cameron Garcia",1,tech_support,high,0.92
"Attention, this is an instantly notice regarding your account. Your access will be limited today. To avoid interruption, act now. This offer is time sensitive and expires midnight. Follow the instructions now.

Keywords: limited offer immediate ends soon

Sincerely,
Jordan Garcia",1,urgency,high,0.79
"Subject: Training session notes

Thanks for your help on the analysis. I've pushed the changes and left comments in the PR for clarity.

Let me know if the timing works for you.

Best,
Taylor Garcia",0,legitimate,low,0.98
"Notice, this is an time sensitive notice regarding your account. Your access will expire soon. To avoid interruption, respond asap. This offer is last chance and expires midnight. Follow the instructions now.

Keywords: instantly don't wait

Account Services,
Morgan Singh",1,urgency,high,0.86
"Notice, we detected a security alert on your account. To verify access, please validate your information. Your account may be locked until you recover it.

Keywords: security deactivated

Security Team,
Morgan Lee",1,social_engineering,high,0.89
"Dear customer, your profile has been locked. Use the secure link to update password and restore access. Enter your username and password to continue.

Keywords: signin recovery key

Security Team,
Taylor Brown",1,credential_harvesting,high,0.94
"Notice, the IT department detected a malware infection on your workstation. Run the antivirus scan and install the security patch from the provided link to fix the issue.

Keywords: technical support, firewall, help desk, tech support, maintenance

Sincerely,
Sam Lee",1,tech_support,high,0.82
"Subject: Project update

Good morning, the updated agenda for next week is included below. Please check your items and add comments.

Feel free to add notes before we meet.

Best,
Alex Lee",0,legitimate,low,0.99
"Dear customer, the IT department detected a malware infection on your workstation. Run the antivirus scan and install the security patch from the provided link to fix the issue.

Keywords: it department, support team, upgrade, network

IT Desk,
Riley Lee",1,tech_support,high,0.91
"Notice, your account requires verification. To restore access, reset your password and enter your username, 2FA verification code, and recovery key.

Keywords: recover account, backup codes, two factor, security code

Regards,
Cameron Brown",1,credential_harvesting,high,0.96
"Hi there, we talked about meeting again after the conference. An unexpected situation came up during my business trip. My wallet was stolen at the hotel and payment verification failed. Could you help me with a temporary loan? I will transfer back next week.

Keywords: wallet stolen, replacement cards, business trip

Compliance Team,
Jamie Singh",1,romance_dating,high,0.92
"Hi there, we detected a login attempt on your account. To verify access, please validate your information. Your account may be locked until you recover it.

Keywords: data breach restricted

Account Services,
Casey Brown",1,social_engineering,high,0.88
"Dear user, this is an quick notice regarding your account. Your access will be limited soon. To avoid interruption, respond asap. This offer is time sensitive and ends soon. Follow the instructions now.

Keywords: instantly ends soon asap rush

Regards,
Avery Martinez",1,urgency,high,0.77
"Subject: Performance feedback

Attaching the draft proposal. Feedback by Friday would be appreciated so we can finalize for the client.

Appreciate your feedback on this draft.

Best,
Sam Patel",0,legitimate,low,0.99
"Dear user, you have a new notification. Please click here to view the update. For your convenience, a link and attachment are included. Do not reply to this auto-generated message.

Keywords: update, announcement, confidential

Compliance Team,
Jordan Kim",1,generic_phishing,low,0.89
"Attention, we talked about meeting again after the conference. An unexpected situation came up during my business trip. My wallet was stolen at the hotel and payment verification failed. Could you help me with a temporary loan? I will transfer back next week.

Keywords: we talked, payment verification, trust me, widower, extend stay, traveler

Security Team,
Avery Wong",1,romance_dating,medium,0.71
"Subject: Code review summary

Thanks for attending the workshop. Here are links to references and the slide deck.

Feel free to add notes before we meet.

Best,
Sam Khan",0,legitimate,low,0.97
"Attention, this is an urgent notice regarding your account. Your access will expire soon. To avoid interruption, act now and follow the instructions immediately. This is time sensitive and ends soon.

Keywords: don't wait, while supplies last, urgent

Sincerely,
Taylor Garcia",1,urgency,medium,0.87
"Notice, this is the facebook security team. There are security concerns on your account. To remain in good standing, follow the official steps to review your account today. Failure to respond may result in a suspension.

Keywords: american express bank government police

Support Desk,
Casey Lee",1,authority_scam,high,0.81
"Dear customer, this is an urgent notice regarding your account. Your access will expire soon. To avoid interruption, act now and follow the instructions immediately. This is time sensitive and ends soon.

Keywords: time sensitive, instantly, final notice, 24 hours, now, ends soon

Support Desk,
Cameron Lee",1,urgency,medium,0.94
"Subject: Networking event details

Thanks for your help on the analysis. I've pushed the changes and added comments in the PR for clarity.

I'll share the slides later today.

Best,
Casey Wong",0,legitimate,low,0.98
"Dear user, we talked about meeting again after the conference. An unexpected situation came up during my business trip. My wallet was stolen at the hotel and payment verification failed. Could you help me with a temporary loan? I will transfer back next week.

Keywords: engineer, stranded, syria

IT Desk,
Riley Wong",1,romance_dating,medium,0.88
"Subject: Performance feedback

Please find the minutes from our last meeting. Action items are listed at the end for convenience.

Feel free to add notes before we meet.

Best,
Casey Martinez",0,legitimate,low,0.98
"Hello, final warning. Failure to respond will restrict your account. Immediate action is required to avoid penalty. Your case will be referred to the judge if unresolved.

Keywords: summons freeze remove lawsuit

Compliance Team,
Riley Garcia",1,threats,high,0.92
"Dear user, this is an while supplies last notice regarding your account. Your access will expire within 24 hours. To avoid interruption, respond asap. This offer is last chance and ends soon. Follow the instructions immediately.

Keywords: act now ends soon last chance

Account Services,
Taylor Wong",1,urgency,high,0.79
"Subject: Quarterly roadmap

I booked the lab for next Wednesday. The calendar invite includes location and equipment details.

Thanks for reviewing the document.

Best,
Jamie Khan",0,legitimate,low,0.99
"Subject: Project update

Attaching the draft proposal. Feedback by Friday would be appreciated so we can finalize for the client.

I'll share the slides later today.

Best,
Casey Kim",0,legitimate,low,1.0
"Subject: Budget planning

Hello, confirming our meeting on Thursday at 2 PM in the conference room. Please bring the draft slides for review.

I'll share the slides later today.

Best,
Taylor Brown",0,legitimate,low,0.95
"Notice, you have a new notification. Please click here to view the update. For your convenience, a link and attachment are included. Do not reply to this auto-generated message.

Keywords: install, confidential, click here

Compliance Team,
Casey Garcia",1,generic_phishing,medium,0.68
"Dear user, this is an urgent notice regarding your account. Your access will expire soon. To avoid interruption, act now and follow the instructions immediately. This is time sensitive and ends soon.

Keywords: expires, while supplies last, expires midnight, asap, urgent, immediate

Security Team,
Morgan Lee",1,urgency,high,0.79
"Subject: Classroom logistics

Quick reminder about the training session tomorrow. The materials are in the shared drive.

Appreciate your feedback on this draft.

Best,
Taylor Brown",0,legitimate,low,0.98
"Attention, congratulations! You are the selected recipient of a refund. To collect your gift of 3 BTC, please provide your account number to process the total. This offer is available today only.

Keywords: fee jackpot

Risk Operations,
Morgan Garcia",1,financial_scam,medium,0.81
"Hi there, the IT department detected a malware infection on your workstation. Run the antivirus scan and install the security patch from the provided link to fix the issue.

Keywords: issue, customer service, repair, bug

Support Desk,
Morgan Kim",1,tech_support,high,0.88
"Dear user, this is the microsoft security team. There are policy concerns on your account. To remain in good standing, follow the confidential steps to review your account today. Failure to respond may result in a hold.

Keywords: agency whatsapp

Security Team,
Alex Khan",1,authority_scam,high,0.89
"Subject: Research discussion

Thanks for attending the workshop. Here are links to references and the slide deck.

I'll share the slides later today.

Best,
Avery Garcia",0,legitimate,low,1.0
"Hello, your profile has been restricted. Use the secure link to update password and restore access. Enter your verification code to continue.

Keywords: update password change password

Account Services,
Alex Garcia",1,credential_harvesting,high,0.95
"Hi there, congratulations! You are the winner of a refund. To collect your gift of 3 BTC, please provide your routing number to process the total. This offer is limited time.

Keywords: lottery price earnings dollar investment

IT Desk,
Cameron Khan",1,financial_scam,high,0.75
"Hello, your account has been locked. Use the secure link to update password and restore access. Enter your verification code to continue.

Keywords: settings recovery key

Security Team,
Jamie Garcia",1,credential_harvesting,high,0.94
"Subject: Conference registration

Good morning, the updated agenda for next week is included below. Please check your items and add comments.

Thanks for reviewing the document.

Best,
Casey Wong",0,legitimate,low,0.97
"Subject: Training session notes

Hi team, sharing the latest notes from today's sync. Next steps are attached in the document. Let me know your thoughts.

Let me know if the timing works for you.

Best,
Riley Kim",0,legitimate,low,0.99
"Subject: Documentation review

Attaching the draft proposal. Feedback by Friday would be appreciated so we can finalize for the client.

Appreciate your feedback on this draft.

Best,
Taylor Khan",0,legitimate,low,0.99
"Attention, we talked about meeting again after the conference. An unexpected situation came up during my business trip. My wallet was stolen at the hotel and payment verification failed. Could you help me with a temporary loan? I will transfer back next week.

Keywords: deployed, stranded, lonely, extend stay, soldier, dating

Support Desk,
Casey Nguyen",1,romance_dating,medium,0.9
"Subject: Team lunch planning

Hi team, sharing the latest notes from today's sync. Next steps are attached in the document. Let me know your thoughts.

Thanks for reviewing the document.

Best,
Casey Wong",0,legitimate,low,0.98
"Subject: Training session notes

Thanks for your help on the analysis. I've pushed the changes and added comments in the PR for clarity.

Appreciate your feedback on this draft.

Best,
Jordan Lee",0,legitimate,low,0.99
"Dear customer, this is the google accounts team. There are policy concerns on your account. To remain in good standing, follow the official steps to review your account today. Failure to respond may result in a suspension.

Keywords: whatsapp facebook police

Regards,
Cameron Brown",1,authority_scam,high,0.92
"Subject: Office maintenance

Thanks for your help on the analysis. I've pushed the changes and added comments in the PR for clarity.

Feel free to add notes before we meet.

Best,
Alex Kim",0,legitimate,low,0.96
"Notice, your account requires verification. To restore access, reset your password and enter your username, 2FA verification code, and recovery key.

Keywords: access code, backup codes, security question, activation code, log in, verification code

IT Desk,
Jordan Lee",1,credential_harvesting,high,0.79
"Attention, your account has been suspended. Use the secure link to verify your username and restore access. Enter your 2FA code to continue.

Keywords: account security settings log in personal information passcode

Sincerely,
Jordan Singh",1,credential_harvesting,high,0.95
"Dear customer, this is an urgent notice regarding your account. Your access will expire soon. To avoid interruption, act now and follow the instructions immediately. This is time sensitive and ends soon.

Keywords: quick, immediate, limited offer, don't wait

Security Team,
Sam Kim",1,urgency,medium,0.87
"Account holder, final warning. Failure to respond will terminate your account. Immediate action is required to avoid fine. Your case will be referred to court if unresolved.

Keywords: seize breach violation arrest

Risk Operations,
Alex Garcia",1,threats,high,0.89
"Dear user, congratulations! You are the selected recipient of a reward. To claim your gift of €5,000, please provide your credit card to process the amount. This deal is available today only.

Keywords: account number offer 10,000

Risk Operations,
Riley Garcia",1,financial_scam,medium,0.8
"Dear customer, I remembered you mentioning the children's hospital charity gala where we ran into each other. I'm a stranded traveler right now; the hotel is asking for payment verification to extend stay. If you could assist with an emergency loan, I can provide replacement cards soon—trust building is important to me.

Keywords: extend stay, medical conference, you were wearing, unexpected situation, remembered you mentioning

IT Desk,
Cameron Khan",1,social_engineering_advanced,high,0.87
"Hi there, we talked about meeting again after the conference. An unexpected situation came up during my business trip. My wallet was stolen at the hotel and payment verification failed. Could you help me with a temporary loan? I will transfer back next week.

Keywords: deployed, single, marry, businessman, cards, international issues

Compliance Team,
Sam Wong",1,romance_dating,medium,0.76
"Subject: Schedule confirmation

Hi team, sharing notes from today's sync. Next steps are in the shared doc. Let me know your thoughts.

Let me know if the timing works for you.

Best,
Jordan Singh",0,legitimate,low,1.0
"Notice, this is an don't wait notice regarding your account. Your access will expire within 24 hours. To avoid interruption, complete the form now. This offer is time sensitive and ends soon. Follow the instructions now.

Keywords: hurry now last chance

Security Team,
Taylor Nguyen",1,urgency,medium,0.93
"Attention, we talked about meeting again after the conference. An unexpected situation came up during my business trip. My wallet was stolen at the hotel and payment verification failed. Could you help me with a temporary loan? I will transfer back next week.

Keywords: we met, hospital, romance, unexpected situation

Regards,
Morgan Singh",1,romance_dating,high,0.75
"Attention, final warning. Failure to respond will hold your account. Immediate action is required to avoid penalty. Your case will be referred to the judge if unresolved.

Keywords: delete penalty legal action criminal default

IT Desk,
Cameron Martinez",1,threats,high,0.87
"Hi there, we talked about meeting again after the conference. An unexpected situation came up during my business trip. My wallet was stolen at the hotel and payment verification failed. Could you help me with a temporary loan? I will transfer back next week.

Keywords: africa, unexpected situation, payment verification, business trip, traveling

Support Desk,
Taylor Khan",1,romance_dating,medium,0.82
"Subject: Team lunch planning

Good morning, the updated agenda for next week is included below. Please check your tasks and add comments.

I'll share the slides later today.

Best,
Casey Singh",0,legitimate,low,0.96
"Subject: Lab booking confirmation

Hello, confirming our meeting on Thursday at 2 PM in the conference room. Please bring the draft slides.

Let me know if the timing works for you.

Best,
Riley Wong",0,legitimate,low,0.99
"Dear customer, your account requires verification. To restore access, reset your password and enter your username, 2FA verification code, and recovery key.

Keywords: activation code, security question, login

Sincerely,
Jamie Wong",1,credential_harvesting,high,0.93
"Subject: Conference registration

Good morning, the updated agenda for next week is included below. Please check your tasks and add comments.

Appreciate your feedback on this draft.

Best,
Sam Wong",0,legitimate,low,0.96
"Attention, I remembered you mentioning the children's hospital charity gala where we ran into each other. I'm a stranded traveler right now; the hotel is asking for payment verification to extend stay. If you could assist with an emergency loan, I can provide replacement cards soon—trust building is important to me.

Keywords: trust building, personal story, replacement cards, unexpected situation

Sincerely,
Riley Patel",1,social_engineering_advanced,high,0.81
